"('1', 4)"
"('1000', 1)"
"('115', 1)"
"('12', 1)"
"('13', 1)"
"('15', 2)"
"('163', 1)"
"('19', 1)"
"('2', 2)"
"('20', 1)"
"('23', 1)"
"('27', 1)"
"('3', 2)"
"('342', 1)"
"('4', 3)"
"('5', 2)"
"('7', 2)"
"('88', 1)"
"('953', 1)"
"('A', 6)"
"('ABOVE', 1)"
"('ACCEPTABLE', 1)"
"('ACCOUNT', 2)"
"('ACTIVATE', 1)"
"('ACTIVITY', 1)"
"('AGO', 2)"
"('ALL', 4)"
"('ALPHABETICALLY', 1)"
"('AND', 8)"
"('ANY', 1)"
"('APOLOGIES', 1)"
"('APPLICATION', 1)"
"('ARE', 2)"
"('AROUND', 1)"
"('AS', 4)"
"('BE', 2)"
"('BRITISH', 1)"
"('BUTTON', 1)"
"('CHATS', 1)"
"('CIRCLES', 1)"
"('CLICK', 2)"
"('COM', 1)"
"('COMPLETE', 1)"
"('COMPLETED', 1)"
"('COMPLIANCE', 1)"
"('COMPOSE', 1)"
"('CONTAINS', 2)"
"('CONTENT', 1)"
"('CONVERSATION', 1)"
"('COUNT', 1)"
"('CREATIVE', 1)"
"('CREATIVEVIRTUAL', 1)"
"('CSV', 1)"
"('D', 1)"
"('DELAY', 1)"
"('DETAILS', 1)"
"('DO', 2)"
"('DON', 1)"
"('DONE', 1)"
"('DRAFTS', 1)"
"('DRAG', 1)"
"('EACH', 2)"
"('EMAIL', 1)"
"('ENGINEER', 1)"
"('EXAMPLE', 1)"
"('EXPLAINED', 1)"
"('EXTENSION', 1)"
"('FIFTEEN', 1)"
"('FILE', 3)"
"('FIVE', 1)"
"('FOLLOWING', 1)"
"('FOR', 2)"
"('FORGOT', 1)"
"('FORTY', 1)"
"('FORWARD', 1)"
"('FOUR', 1)"
"('FRI', 1)"
"('FRIDAY', 2)"
"('FROM', 1)"
"('GB', 2)"
"('GET', 1)"
"('GETTING', 1)"
"('GITHUB', 2)"
"('GMAIL', 2)"
"('HANGOUTS', 1)"
"('HAVE', 1)"
"('HERE', 1)"
"('HI', 1)"
"('HIT', 1)"
"('HOURS', 1)"
"('HOW', 1)"
"('HUNDRED', 2)"
"('HYPHENS', 1)"
"('I', 4)"
"('IAIN', 3)"
"('IF', 3)"
"('IMPORTANT', 1)"
"('IN', 10)"
"('INBOX', 3)"
"('INCLUSIVE', 1)"
"('INPUT', 1)"
"('IS', 2)"
"('ISSUES', 1)"
"('LABELS', 1)"
"('LAST', 1)"
"('LATER', 1)"
"('LECKIE', 1)"
"('LETTERS', 4)"
"('LIKE', 1)"
"('LINK', 1)"
"('LINKWOK', 1)"
"('LISTING', 1)"
"('LL', 1)"
"('LOOK', 1)"
"('MAIL', 1)"
"('MANAGE', 1)"
"('MANY', 1)"
"('ME', 3)"
"('MESSAGE', 1)"
"('MINUTES', 1)"
"('MORE', 2)"
"('MOVE', 1)"
"('MUGDHA', 1)"
"('NEW', 1)"
"('NOT', 1)"
"('NOTE', 1)"
"('NUMBER', 1)"
"('NUMBERS', 3)"
"('OCCURRENCES', 1)"
"('OF', 5)"
"('ON', 3)"
"('ONCE', 1)"
"('ONE', 3)"
"('OPENED', 1)"
"('OR', 3)"
"('OUT', 3)"
"('PAGE', 1)"
"('PLEASE', 1)"
"('PM', 1)"
"('POST', 1)"
"('PRINT', 1)"
"('PRIVACY', 1)"
"('PROBLEM', 3)"
"('PROBLEMS', 2)"
"('PROGRAM', 1)"
"('PYTHON', 3)"
"('QUESTIONS', 1)"
"('RAHEEL', 2)"
"('READ', 1)"
"('READERS', 1)"
"('REPLY', 2)"
"('REPORT', 1)"
"('REQUIRE', 1)"
"('RETURN', 2)"
"('SCREEN', 1)"
"('SEARCH', 1)"
"('SEND', 2)"
"('SENT', 1)"
"('SEPARATE', 1)"
"('SHANTANU', 1)"
"('SIMPLY', 1)"
"('SKIP', 1)"
"('SMALL', 1)"
"('SOLUTIONS', 1)"
"('SPACES', 1)"
"('STARRED', 1)"
"('SUCH', 1)"
"('T', 1)"
"('TAKE', 3)"
"('TERMS', 1)"
"('TEXT', 1)"
"('THANKS', 1)"
"('THAT', 1)"
"('THE', 14)"
"('THEN', 1)"
"('THERE', 1)"
"('THIS', 3)"
"('THOUSAND', 1)"
"('THREE', 2)"
"('THURS', 1)"
"('TO', 14)"
"('TOTAL', 1)"
"('TOUCH', 1)"
"('TWO', 2)"
"('UNTIL', 1)"
"('USAGE', 1)"
"('USE', 2)"
"('USED', 3)"
"('USER', 2)"
"('USING', 2)"
"('VIRTUAL', 1)"
"('WEEK', 1)"
"('WERE', 1)"
"('WHEN', 1)"
"('WILL', 1)"
"('WINDOW', 1)"
"('WITH', 2)"
"('WORDS', 3)"
"('WOULD', 2)"
"('WRITE', 1)"
"('WRITING', 1)"
"('WRITTEN', 2)"
"('X', 1)"
"('YOU', 3)"
"('YOUR', 2)"
